MOF,PredictedValue,Model,Features
2021[Cu][sql]2[ASR]6,37.5,SK_LR,GSA
2020[U][hcb]2[ASR]2,37.7,SK_LR,VSA
2020[Ti][srs]3[ASR]1,37.6,SK_LR,VSA
2016[Ti][srs]3[ASR]1,37.2,SK_LR,VSA
2020[Fe][hcb]2[ASR]2,37.1,SK_LR,PV
2018[CeZn][she]3[ASR]1,38.1,SK_LR,LCD
2018[Ce][csq]3[ASR]1,38.1,SK_LR,LCD
2019[Zr][csq]3[ASR]1,37.9,SK_LR,LCD
2018[CuZr][she]3[ASR]1,37.7,SK_LR,LCD
2022[Zr][she]3[ASR]1,37.5,SK_LR,LCD
2020[Cu][nbo]3[ASR]2,37.4,SK_LR,LCD
2020[Cu][nbo]3[ASR]3,37.4,SK_LR,LCD
2020[Ni][nbo]3[ASR]1,37.4,SK_LR,LCD
2020[Zn][nbo]3[ASR]3,37.4,SK_LR,LCD
2021[Cu][nbo]3[ASR]2,37.4,SK_LR,LCD
2020[Co][nbo]3[ASR]2,37.4,SK_LR,LCD
2020[Mn][nbo]3[ASR]1,37.4,SK_LR,LCD
0000[Fe][nbo]3[ASR]1,37.4,SK_LR,LCD
2020[Cu][nbo]3[ASR]4,37.4,SK_LR,LCD
2023[Eu][nan]3[ASR]2,37.3,SK_LR,LCD
2020[Zr][sod]3[ASR]1,37.2,SK_LR,LCD
2013[Zn][nan]3[ASR]9,37.2,SK_LR,LCD
2016[NiZr][ftw]3[ASR]1,37.2,SK_LR,LCD
2015[Zr][ftw]3[ASR]2,37.2,SK_LR,LCD
2015[Zr][ftw]3[ASR]3,37.2,SK_LR,LCD
2015[Zn][ith]3[ASR]1,37.2,SK_LR,LCD
2016[Mg][stp]3[ASR]2,37.2,SK_LR,LCD
2017[Zn][muo]3[ASR]1,37.2,SK_LR,LCD
2017[Zr][csq]3[ASR]1,37.1,SK_LR,LCD
2017[Zr][csq]3[ASR]2,37.1,SK_LR,LCD
2017[Zr][csq]3[ASR]3,37.1,SK_LR,LCD
2017[Zr][csq]3[ASR]4,37.1,SK_LR,LCD
2019[Zr][csq]3[ASR]2,37.1,SK_LR,LCD
2019[Zr][csq]3[ASR]3,37.1,SK_LR,LCD
2017[Zn][nan]3[ASR]6,37.9,SK_LR,PLD
2021[Sc][nan]3[ASR]1,37.5,SK_LR,PLD
2012[Zn][nan]3[ASR]9,37.2,SK_LR,PLD
2017[Zn][nan]3[ASR]13,37.2,SK_LR,PLD
2018[Zn][nan]3[ASR]4,37.2,SK_LR,PLD
2018[Zn][nan]3[ASR]5,37.2,SK_LR,PLD
2017[Cu][nan]3[ASR]7,38.1,XG_RF,"VSA,LCD"
2018[Zn][bcu]3[ASR]1,37.7,XG_RF,"VSA,LCD"
2023[Zn][hmc]3[ASR]1,37.3,XG_RF,"VSA,LCD"
2011[Zn][pcu]3[ASR]8,37.3,XG_RF,"VSA,LCD"
2007[Zn][pcu]3[ASR]3,37.2,XG_RF,"VSA,LCD"
2020[Fe][tbo]3[ASR]1,37.2,XG_RF,"VSA,LCD"
2020[Fe][tbo]3[ASR]2,37.2,XG_RF,"VSA,LCD"
2020[Ni][nan]3[ASR]3,37.2,XG_RF,"VSA,LCD"
2020[Zr][flu]3[ASR]3,37.2,XG_RF,"VSA,LCD"
2020[Hf][flu]3[ASR]1,37.2,XG_RF,"VSA,LCD"
2014[Zr][fcu]3[ASR]2,37.2,XG_RF,"VSA,LCD"
2015[Zr][ftw]3[ASR]1,37.2,XG_RF,"VSA,LCD"
2015[Zn][ith]3[ASR]2,37.2,XG_RF,"VSA,LCD"
2015[Zn][ith]3[ASR]3,37.2,XG_RF,"VSA,LCD"
2015[Zn][ith]3[ASR]4,37.2,XG_RF,"VSA,LCD"
0000[Zn][ith]3[ASR]1,37.2,XG_RF,"VSA,LCD"
2017[Fe][fmz]3[ASR]1,37.2,XG_RF,"VSA,LCD"
2018[Zr][nan]3[ASR]3,37.1,XG_RF,"VSA,LCD"
0000[U][bcu]3[ASR]1,37.1,XG_RF,"VSA,LCD"
2001[Cu][nan]3[ASR]3,37.1,XG_RF,"VSA,LCD"
2017[Zr][bcu]3[ASR]2,37.2,XG_RF,"VSA,PLD"
2017[U][bcu]3[ASR]1,37.1,XG_RF,"VSA,PLD"
2019[Th][bcu]3[ASR]1,37.1,XG_RF,"VSA,PLD"
2020[U][hcb]2[ASR]3,37.7,XG_RF,"Density,GSA,VSA,LCD"
2019[Np][shp]3[ASR]1,37.1,XG_RF,"Density,GSA,VSA,LCD"
